time, id1, id2, amount, message
2016-11-01 17:38:25, 1, 4, 23.74, trusted
2016-11-01 17:38:25, 1, 7, 23.74, trusted
2016-11-01 17:38:25, 1, 11, 23.74, trusted
2016-11-01 17:38:25, 1, 13, 23.74, trusted
2016-11-01 17:38:25, 1, 14, 23.74, unverified
2016-11-01 17:38:25, 1, 16, 89.74, unverified
2016-11-01 17:38:25, 14, 1, 23.74, unverified
2016-11-01 17:38:25, 14, 13, 23.74, trusted
2016-11-01 17:38:25, 14, 16, 39.74, unverified
2016-11-01 17:38:25, 14, 12, 23.74, trusted
2016-11-01 17:38:25, 14, 11, 90.74, trusted
2016-11-01 17:38:25, 14, 7, 23.74, trusted
2016-11-01 17:38:25, 14, 4, 990.74, trusted
2016-11-01 17:38:25, 14, 6, 23.74, unverified
2016-11-01 17:38:25, 15, 16, 2000.74, trusted
